search_title,search_authors,search_publisher,title,authors,publisher,published_date,description,page_count,categories,language,thumbnail,use_title,use_author,use_publisher,errors
Vision Transfomer入門,片岡裕雄，山本晋太郎，徳永匡臣，箕浦大晃，邱玥（QIU YUE），品川政太朗,技術評論社,Vision Transformer入門,"山本晋太郎, 徳永匡臣, 箕浦大晃, キュウゲツ(QIU YUE), 品川政太朗",,2022-09-17,自然言語処理分野におけるブレイクスルーとなったTransformerをコンピュータビジョンに応用したモデルがVision Transformer(ViT)です。さまざまなコンピュータビジョンのタスクにおいて、ディープラーニングではスタンダードとなっているRNN、CNN、および既存手法を用いた処理精度を上回ることが確認されています。 本書は注目のViTの入門書です。Transformerの成り立ちからはじめ、その理論と実装を解説していきます。今後のViTの活用が期待される応用タスク、ViTから派生したモデルを紹介したあと、TransoformerとViTを分析し、その謎を解明していきます。今後も普及が期待されるViTを盛りだくさんでお届けします。 目次 1章 TransformerからVision Transformerへの進化 2章 Vision Transformerの基礎と実装 3章実験と可視化によるVision Transformerの探求 4章コンピュータビジョンへの応用 5章 Vision and Languageへの応用 6章 Vision Transformerの派生手法 7章 Transformerの謎を読み解く 8章 Vision Transformerの謎を読み解く...,0,,ja,http://books.google.com/books/content?id=c19LzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,0.0,1.0,0
Webマーケティングの科学,井上哲浩，日本マーケティングサイエンス学会,千倉書房,Webマーケティングの科学,井上哲浩,,2007-02,Web戦略対応への実践科学的示唆を提示...,258,,ja,,1.0,0.0,1.0,0
XAI(説明可能なAI)--そのとき人工知能はどう考えたのか? ,大坪直樹，中江俊博，佐藤誠，深沢祐太，坂元哲平，豊岡祥，堀内新吾，五十嵐健太，市原大暉,リックテレコム,XAI(説明可能なAI),"大坪直樹, 中江俊博, 深沢祐太, 豊岡祥, 坂元哲平, 佐藤誠, 五十嵐健太, 市原大暉, 堀内新吾",,2021-07,◆AIの説明責任を果たす ◆ ◆◆手法とツールを解説◆◆ AIが出した答について「なぜ?」「どうして、そうなるの?」と問われた開発者は、絶句するほかありません。そこを機械に任せるための機械学習なのですから、「黙って信じてください」と頼みますか? この難問に対し、人間が納得できそうな理由や根拠を示す技術が「説明可能なAI」(eXplainable AI:XAI)です。本書では、実際にどのような「説明」が必要とされ、また、可能なのかを丁寧に解説。代表的なXAI技術の概要を紹介し、PythonのXAIライブラリLIMEやSHAP等の使いこなしを手引き。AIの業務適用で迫られる「公平性・説明責任・透明性」という3 つの要求に備えます。...,248,,ja,http://books.google.com/books/content?id=oyCLzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,0.0,0
[第2版]Python 機械学習プログラミング,Sebastian Raschka，Vahid Mirjalili,インプレス,Python機械学習プログラミング 達人データサイエンティストによる理論と実践,"Sebastian Raschka, 株式会社クイープ, 福島 真太朗",（株）インプレス,2016-06-30,機械学習の考え方とPython実装法がわかる! 分類/回帰問題や深層学習の導入を解説。 ◎絶妙なバランスで「理論と実践」を展開 ◎Pythonライブラリを使いこなす ◎数式・図・Pythonコードを理解する 本書は、機械学習の理論とPython実践法を網羅的に解説した技術書です。機械学習とは、データから学習した結果をもとに判定や予測を行うことです。すでにさまざまな機械学習の方法が開発されています。本書では、それらの方法について背景にある理論や特徴を解説した上で、Pythonによる実装法を説明します。初期の機械学習アルゴリズムから取り上げ、前処理や次元削減、Webへの展開のほか、終盤ではディープラーニングについても見ていきます。機械学習の理論と実践についてバランスよく解説してあり、AIプログラミングの第一歩を踏み出すための格好の一冊です。 ※本書は『Python Machine Learning』の翻訳書です。 ※付録では、本書を読み進めるにあたっての前提知識として、Python ライブラリや数学について補足説明をしています。必要に応じて、他の書籍などもご参照ください。 発行：インプレス...,717,Computers,ja,http://books.google.com/books/content?id=wmp8DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,0.0,1.0,0
[第3版]Python機械学習プログラミング 達人データサイエンティストによる理論と実践,Sebastian Raschka，Vahid Mirjalili,インプレス,Python機械学習プログラミング PyTorch＆scikit-learn編,"Sebastian Raschka, Yuxi (Hayden) Liu, Vahid Mirjalili, クイープ, 福島真太朗",インプレス,2022-12-15,第3版まで続くロングセラーのPyTorch版！ 機械学習の基本から先進的な手法まで本格解説 『機械学習を実践的に学ぶための優れたテキスト』 『多くのトピックを網羅した深い一冊。強力にお勧め』 ―原著への読者の声 本書の前半は、基本的な機械学習ライブラリのscikit-learnを使った手法を解説。 分類の基本モデルに始まり、単層ニューラルネットまでを実装するほか、データ前処理、次元削減、 ハイパーパラメーターのチューニング、アンサンブル学習、回帰分析などを取り上げます。 後半では、PyTorchによるさまざまなディープラーニングの手法を説明。 PyTorchの仕組みを示したあと、CNN／RNN／Transformerといったモデルの実装を解説。 敵対的生成ネットワーク、グラフニューラルネットワーク、強化学習もカバー。 ◎本書は『Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python』の翻訳書です。 ◎微積分/線形代数、Pythonの文法、データ分析用ライブラリについてある程度理解している必要があります。 発行：インプレス...,712,Computers,ja,http://books.google.com/books/content?id=_pKhEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,0.0,0
python文法詳解,石本敦夫,オライリージャパン,Python文法詳解,石本敦夫,,2014-09-17,最新のPythonを深く理解し、使いこなすために必要な基礎を伝授!プログラミング言語としてのPythonの文法や、組み込みのオブジェクトに焦点を絞って解説。入門書やチュートリアルではあまり触られない、Pythonの内部や仕組みに関するトピックも盛り込んだ。...,316,,ja,http://books.google.com/books/content?id=B6e7oQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,0.0,0
これからのロボットプログラミング入門 Pythonで動かすMINDSTORMS EV3,上田悦子，小枝正直，中村恭之,講談社,これからのロボットプログラミング入門　第２版　Ｐｙｔｈｏｎで動かすＭＩＮＤＳＴＯＲＭＳ　ＥＶ３,"上田悦子, 小枝正直, 中村恭之",講談社,2022-03-30,※この商品はタブレットなど大きいディスプレイを備えた端末で読むことに適しています。また、文字だけを拡大することや、文字列のハイライト、検索、辞書の参照、引用などの機能が使用できません。 ★ビジュアルプログラミングからオブジェクト指向プログラミングへ。さあ、はじめよう！★ MicroPython ver2.0に対応した改訂版。LEGO MINDSTORMS EV3を用いるロボットプログラミングもPythonで自由自在！ ソースコードの解説が丁寧だから大丈夫。プログラムを書いて、すぐロボットが動くからSTEM教育の導入としても最適。センサ、機構、ライントレース、Open Roberta Labなどの発展的な話題も豊富。 いま、テキストベースのプログラミング言語Pythonが注目されています。人工知能(AI)を応用したアプリケーション開発やビッグデータ解析、ロボットアプリケーション開発などの分野でよく使用されており、さらに初心者のプログラミング学習にも向いています。したがって、Pythonを学ぶことは、ロボットプログラミングを始めたい人にとって大いに意味があります。 本書では、EV3ソフトウェアとPythonでプログラムを書きます。2つのプログラムの対応がよくわかるように、EV3ソフトウェアのプログラムを説明した後に、Python のプログラムを説明します。Pythonのプログラムの説明では、EV3ソフトウェアのプログラム中のブロックに相当する手続きがどこで使われているかについても説明します。 【主な内容】 1章 はじめに 2章 プログラミングの準備をしよう 3章 ロボットプログラミングをはじめよう 4章 ロボットを動かしてみよう （基本プログラム/ ステータスライトを光らせる/ 音を鳴らす/ ディスプレイに文字を描画する/ モーターを回転させる） 5章 センサーを使って動かそう （EV3 で使用できるセンサー/ タッチセンサーを使おう/ カラーセンサーを使おう/ ジャイロセンサーを使おう/ 超音波センサーを使おう/ モーター回転センサーを使おう） 6章 オリジナルロボットを作ろう （ロボット製作のための力学・機構/ 力学・機構のための数学的準備/ 力学の基礎/ 基本的な機構/ 車輪移動機構/ ロボットアームとエンドエフェクター） 7章 実践してみよう （ボタンを押してすぐに実行する/ 複雑な動作をプログラミングするためのテクニック/ ライントレース/ 線の検出） 8章 Open Roberta Lab （Open Roberta Labとは/ 画面の説明/ プログラミング/ 保存と読み込み/ シミュレーター/ ロボットの設定/Open Roberta Lab からEV3 を動かす） 付録A リファレンス ※この商品は紙の書籍のページを画像にした電子書籍です。文字だけを拡大することはできませんので、タブレットサイズの端末での閲読を推奨します。また、文字列のハイライトや検索、辞書の参照、引用などの機能も使用できません。...,241,Computers,ja,http://books.google.com/books/content?id=Uk1lEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,1.0,0
これならわかる機械学習入門,富谷昭夫,講談社,これならわかる機械学習入門,富谷昭夫,講談社,2021-03-29,【道具として使いこなす！】 膨大な観測データから普遍的な法則を抽出する手法とは？ 高校数学レベルから始まり、Python入門、TensorFlowによる実装、最新の論文まで踏み込む入門書。 【著者サポートページ】 https://github.com/akio-tomiya/intro_ml_in_physics 【目次】 第1章 データとサイエンス 1.1 物理学とデータサイエンス／1.2 最小2乗法とオーバーフィット／1.3 テイラー展開と振り子の等時性／コラム：武谷の三段階論 第2章 行列と線形変換 2.1 ベクトル、行列と線形変換／2.2 変換としての行列／2.3 行列に関する色々／コラム：計算量のオーダー 第3章 確率論と機械学習 3.1 確率の基礎事項／3.2 教師あり学習と教師なし学習、強化学習／3.3 確率変数と経験的確率、大数の法則／3.4 大数の弱法則の証明／3.5 カルバックライブラーダイバージェンス／3.6 尤度と赤池情報量基準、汎化／3.7 ロジスティック回帰 第4章 ニューラルネットワーク 4.1 ニューラルネットワークの概論／4.2 万能近似定理／コラム：新しい道具と新理論 第5章 トレーニングとデータ 5.1 ニューラルネットワークの入出力と学習／5.2 誤差関数と汎化、過学習／5.3 誤差関数の最適化・学習／コラム：次元の呪い 第6章 Python入門 6.1 Pythonによるプログラミング入門／6.2 Pythonと他言語の比較／6.3 NumPyとMatplotlib／6.4 Pythonでのクラス 第7章 TensorFlowによる実装 7.1 TensorFlow/Kerasとは／7.2 データやライブラリのロード／7.3 データの分割とニューラルネットワークの設計／7.4 学習／7.5 結果の評価／コラム：量子化という用語 第8章 最適化、正則化、深層化 8.1 最適化法の改良／8.2 過学習を防ぐ／8.3 多層化にむけて 第9章 畳み込みニューラルネットワーク 9.1 フィルター／9.2 畳み込みニューラルネット／コラム：知能と飛行機 第10章 イジング模型の統計力学 10.1 イジング模型／10.2 イジング模型のモンテカルロ法／10.3 熱浴法のPythonコードとデータの準備／コラム：統計力学と場の量子論 第11章 Nature Physicsの論文を再現しよう 11.1 論文について／11.2 データの前処理／11.3 実験...,289,Mathematics,ja,http://books.google.com/books/content?id=Yz81EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,1.0,0
これならわかる深層学習入門,瀧雅人,講談社,機械学習スタートアップシリーズ　これならわかる深層学習入門,瀧雅人,講談社,2017-10-21,機械学習の予備知識がない読者を、研究の最前線までしっかり連れて行く、ひとりでも学べる入門書！ 深層学習の理論を初めて学ぶ人はもちろん、今度こそ理解したい人のために。 【甘利俊一先生推薦】 「世の中に人工知能の解説書は多いが、基礎から始め、その仕組みを理論的に明快に説明したのは本書が初めてといってよい」...,352,Computers,ja,http://books.google.com/books/content?id=lVx2DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,1.0,0
これなら分かる応用数学教室,金谷健一,共立出版,これなら分かる応用数学教室,金谷健一,,2003-06,課題・疑問・質問・感想に明確に応える書...,280,,ja,http://books.google.com/books/content?id=g3QoAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
これなら分かる最適化数学,金谷健一,共立出版,これなら分かる最適化数学,金谷健一,,2005-09,各種の最適化手法の原理や計算法をやさしく解説...,260,,ja,http://books.google.com/books/content?id=yIIPAwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
しっかり学ぶ数理最適化 モデルからアルゴリズムまで,梅谷俊治,講談社,しっかり学ぶ数理最適化,梅谷俊治,,2020-10,最適化問題へのモデル化と、基本的なアルゴリズムを俯瞰し、最適化という考え方の基礎をしっかりと固める。具体例と演習問題も充実!...,368,,ja,http://books.google.com/books/content?id=XKTxzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
その問題、やっぱり数理モデルが解決します,浜田宏,ベレ出版,その問題、やっぱり数理モデルが解決します,浜田宏,ベレ出版,2020-09-14,※この商品はタブレットなど大きいディスプレイを備えた端末で読むことに適しています。また、文字だけを拡大することや、文字列のハイライト、検索、辞書の参照、引用などの機能が使用できません。 対話形式による解説で、数理モデルの基礎が身につく入門書。数理モデルとは、現実の世界で起こるさまざまな現象を数式で表したものです。数式にすることで、その現象の性質を理解したり、変化を予測したりできます。「どうやって価格を決めるの？」「売上を予測するには？」「広告で販売数を増やすには？」など、ビジネスパーソンにとって身近なテーマを題材に数理モデルを解説。数学記号の読み方や意味から丁寧に説明するので、不安な方もどうぞご安心を。とっつきやすいのに「数理モデルの考え方」がわかる一冊。...,343,Mathematics,ja,http://books.google.com/books/content?id=j8MDEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,0.0,0
その問題、数理モデルが解決します,浜田宏,ベレ出版,その問題、数理モデルが解決します,浜田宏,,2018-12,データサイエンスの根幹をなす「数理モデル」がしっかり身につく!難しそうな問題も数理モデルで解決!...,307,,ja,http://books.google.com/books/content?id=aBTFvwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,0.0,1.0,0
つくりながら学ぶ! Pythonによる因果分析,小川雄太郎,マイナビ出版,つくりながら学ぶ！ Pythonによる因果分析,小川雄太郎,マイナビ出版,2020-06-30,※この商品はタブレットなど大きいディスプレイを備えた端末で読むことに適しています。また、文字だけを拡大することや、文字列のハイライト、検索、辞書の参照、引用などの機能が使用できません。 ビジネス現場ではデータ活用の重要性がますます高まっています。データに基づいた経営施策の実施とその効果検証のためには、一般的な統計指標（平均、標準偏差、相関）だけでなく「因果」にまで分析を広げる必要があります。 本書は因果分析の重要な2つの領域である「因果推論」および「因果探索」について、実際にプログラムを実装しながら学ぶ書籍です。因果推論や因果探索を学びたいビジネスパーソンや、初学者の方を対象としています。 ・因果推論とは「テレビCM放映で、商品購入量がどれくらい増えたのか？」「研修の実施で、社員スキルがどの程度向上したのか？」など、なんらかの施策を実施した際に、その施策の効果を推定する手法です。 ・因果探索とは「生活習慣と疾病の調査」「働き方改革に伴う社員調査」など、アンケート調査等で収集した各項目間の因果関係を明らかにする試みです。 本書は「因果推論、因果探索とはどのようなものか」「因果推論、因果探索を実施するには、具体的にどうしたら良いのか・分析プログラムをどう実装したら良いのか」「因果推論、因果探索が、どのように機械学習やディープラーニングと結びついているのか」が理解・習得できる内容となっています。 プログラミング言語Python、実行環境Google Colaboratory、機械学習ライブラリscikit-learn、PyTorchで実際に手を動かしながら実装し、習得していきます。 データに基づいた経営・ビジネスを実践するうえでスタンダードな手法となる因果分析をマスターしよう。 Part 1：因果推論 第1章 相関と因果の違いを理解しよう 第2章 因果効...,228,Computers,ja,http://books.google.com/books/content?id=iOTvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,0.0,0
はじめてでもできるGitとGitHubの教科書,たにぐちまこと,SBクリエイティブ,はじめてでもできる　GitとGitHubの教科書,たにぐちまこと,SBクリエイティブ,2022-07-22,これ一冊あればGitはもうこわくない！ ※この電子書籍は固定レイアウト型で配信されております。固定レイアウト型は文字だけを拡大することや、文字列のハイライト、検索、辞書の参照、引用などの機能が使用できません。 Git入門の決定版！ バージョン管理システムであるGitとそれを最大限に活用するためのプラットフォームであるGithubの使い方を、ハンズオンで丁寧に解説。 SourceTreeを使った視覚的な操作から、コマンドラインを使ったスムーズな利用まですべてを網羅。 バージョン管理はもうこわくない！...,275,Computers,ja,http://books.google.com/books/content?id=wc98EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,1.0,0
はじめてのパターン認識,平井有三,森北出版,はじめてのパターン認識,平井有三,,2012-07,パターン認識を学ぶ入門書に最適。Rによる実行例も収録。...,219,,ja,http://books.google.com/books/content?id=y4SQMAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
はじめての最適化,関口良行,近代科学社,はじめての最適化,関口良行,,2014-01-31,"はじめに,数学を丁寧に復習し,最適化直感的に理解できるよう,図形的説明を多用しながら,その全貌を分かりやすく詳説する....",208,,ja,http://books.google.com/books/content?id=4XwJnwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,0.0,0
はじめての確率論 測度から確率へ,佐藤坦,共立出版,はじめての確率論測度から確率へ,佐藤坦,,1994,"本書を読めば確率論の基本が理解できるように,証明などを丁寧に述べた初学者向け入門テキスト。...",216,,ja,http://books.google.com/books/content?id=mCoYywAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,0.0,0
はじめての統計データ分析 ベイズ的＜ポストp値時代＞の統計学,豊田秀樹,朝倉書店,はじめての統計データ分析,豊田秀樹,,2016-05-25,本書は、有意性検定やp値によらない統計学の教科書です。初めて統計学を学ぶ学生のための最初歩の入門書であり、独習書です。統計データ分析に関する予備知識はいっさい仮定せず、数学的説明には微分・積分・シグマ記号・行列・ベクトル演算を使わずに、統計的推測の世界にご招待いたします。...,204,,ja,http://books.google.com/books/content?id=AJPijwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
はじめての英語論文 引ける・使える パターン表現＆文例集,和田朋子,すばる舎,【増補改訂版】はじめての英語論文　引ける・使える　パターン表現＆文例集,和田朋子,すばる舎,2013-10-25,日本人が陥りがちな、躍動感や変化に乏しい表現、いわゆる日本語直訳的＝和製英文的な表現を修正し、どこに出しても恥ずかしくないプロフェッショナルな英語論文に仕立て上げるヒント満載。論文必須のパターン40表現と関連ボキャブラリー1000語句を収録しています。 英語論文にふさわしい明瞭簡潔な構文選択のコツに加え、スタイリッシュな見た目や必要不可欠な論文構成にも言及した、文系理系問わず、すべてのアカデミック・ライター必携の書。 【株式会社すばる舎】...,260,Literary Collections,ja,http://books.google.com/books/content?id=T8fBBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,0.0,0
よくわかる線形代数,有馬哲，石村貞夫,東京図書,よくわかる線型代数,"有馬哲, 石村貞夫",,1986,,280,,ja,,1.0,1.0,1.0,0
わかりやすいパターン認識,石井健一郎，前田英作，上田修功，村瀬洋,オーム社,わかりやすいパターン認識,"石井健一郎, 上田修功, 村瀬洋, 前田英作",,1998,,204,COMPUTERS,ja,,1.0,1.0,1.0,0
アイデアスケッチ,小林茂，鈴木宣也，赤羽享,ビーエヌエヌ新社,アイデアスケッチ,"James Gibson, 小林茂, 鈴木宣也, 赤羽亨",,2017-10,なぜ、あなたのアイデアは組織の壁を突破できないのか?地方都市にありながらも全国から異才が集結する学校IAMAS(イアマス)。そこで培われた視覚的ブレインストーミング手法「アイデアスケッチ」のノウハウを、誰もが実践できるようわかりやすく解説。プロセスからデザインすることで、アイデアとチームを同時に醸成できる。...,143,,ja,http://books.google.com/books/content?id=MYdztAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,0.0,0
アフターデジタル,藤井保文，尾原和啓,日経BP,アフターデジタル,"藤井保文, 尾原和啓",,2019-03,オフラインがなくなる世界を「アフターデジタル」と呼んでいます。その世界を理解しその世界で生き残る術を解説します。...,197,,ja,http://books.google.com/books/content?id=dg3EwwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
イラストで学ぶ 人工知能概論,谷口忠大,講談社,イラストで学ぶ　人工知能概論,谷口忠大,講談社,2014-09-25,※この商品はタブレットなど大きいディスプレイを備えた端末で読むことに適しています。また、文字だけを拡大することや、文字列のハイライト、検索、辞書の参照、引用などの機能が使用できません。 ホイールダック２号の冒険物語を通して、人工知能全般が学べる異色の教科書！位置推定、学習と認識、自然言語処理を中心に解説。ストーリー仕立てだから簡単に理解できる。まずは、この1冊から始めよう！...,258,Technology & Engineering,ja,http://books.google.com/books/content?id=QZHvBwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,0.0,0
イラストで学ぶ情報理論の考え方,植松友彦,講談社,イラストで学ぶ情報理論の考え方,植松友彦,,2012-01,2進数から誤り訂正符号までを明快に説く、初学者にとって最良の教科書。...,231,,ja,http://books.google.com/books/content?id=kwB9tgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,0.0,0
イラストで学ぶ機械学習,杉山将,講談社　,イラストで学ぶ機械学習,杉山将,,2013-09,,220,,ja,http://books.google.com/books/content?id=ghL1nQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
インベンス・ルービン 統計的因果推論 （上）,G.W.インベンス，D.B.ルービン，星野崇宏，繁桝算男,朝倉書店,インベンス・ルービン統計的因果推論,"G.W. インベンス, D.B. ルービン",,2023-07-07,ノーベル賞学者と第一人者による基本文献.主要概念の定義と分析の論理を詳述.待望の全訳....,0,,ja,http://books.google.com/books/content?id=cxzZzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
ウェブデータの機械学習,ダヌシカボレガラ，岡﨑直観，前原貴憲,講談社,ウェブデータの機械学習,"ダヌシカボレガラ, 岡崎直観, 前原貴憲",,2016-08,評判分類、単語の意味表現、検索結果の順序学習を重点的に解説した。話題を瞬時に発見するバースト検出やウェブのリンク解析も紹介。...,192,,ja,http://books.google.com/books/content?id=27shvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
"ウェブ最適化ではじめる機械学習
 ―A/Bテスト、メタヒューリスティクス、バンディットアルゴリズムからベイズ最適化まで",飯塚修平,オライリージャパン,ウェブ最適化ではじめる機械学習,飯塚修平,,2020-11,ウェブサイトのUX改善を題材に、メタヒューリスティクスなど機械学習のアプローチでパラメーターの抽出やモデルの選択などを学ぶ。...,300,,ja,http://books.google.com/books/content?id=jQ0OzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
エシェロン解析,栗原考次，石岡文生,共立出版,エシェロン解析,"栗原考次, 石岡文生",,2021-08,空間データの新たな解析法「エシェロン解析」について、基礎となる考え方やアルゴリズム、応用例やソフトウェアなどを紹介する。...,144,,ja,http://books.google.com/books/content?id=kkiLzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
オンライン予測,畑埜晃平，瀧本英二,講談社,オンライン予測,"畑埜晃平, 瀧本英二",,2016-12,絶えず流れる情報を、いかに捉え、いかに学習するか? 多彩なアルゴリズムを簡潔・丁寧に解説。基礎が理解でき、応用手法も身につく...,176,,ja,http://books.google.com/books/content?id=RPkeMQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
オンライン機械学習,海野裕也，岡野原大輔，得居誠也，徳永拓之,講談社,オンライン機械学習,"海野裕也, 岡野原大輔, 得居誠也, 徳永拓之",講談社,2015-04-07,※この商品はタブレットなど大きいディスプレイを備えた端末で読むことに適しています。また、文字だけを拡大することや、文字列のハイライト、検索、辞書の参照、引用などの機能が使用できません。 誰でもすぐにオンライン機械学習を実践できる即戦力の入門書！オンライン機械学習の基礎から理論、実装、応用、最新手法までをすべて網羅し、明快に解説した。この１冊で、面白いほどよくわかる！...,174,Technology & Engineering,ja,http://books.google.com/books/content?id=sp0ECwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,1.0,0
カプラン・マイヤー法―生存時間解析の基本手法― ,西川正子,共立出版,カプラン・マイヤー法,西川正子,,2019-04-30,,182,,ja,http://books.google.com/books/content?id=p_0NxQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
カルマンフィルタ―Rを使った時系列予測と状態空間モデル― ,野村俊一,共立出版,カルマンフィルタ,野村俊一,,2016-09,主にカルマンフィルタを用いた時系列解析の方法論と、データ解析の実践を解説。Rを用い、多種多様な時系列への対応を念頭に詳述。...,168,,ja,http://books.google.com/books/content?id=WbgfvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
カーネル多変量解析―非線形データ解析の新しい展開 ,赤穂昭太郎,岩波書店,カーネル多変量解析,赤穂昭太郎,,2008-11,基本的な考え方と手法の設計法を明快に説明...,207,,ja,http://books.google.com/books/content?id=GMBdPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
カーネル法によるパターン解析,J.S.テイラー,共立出版,カーネル法によるパターン解析,"John Shawe-Taylor, Nello Cristianini",,2010-05,カーネル法によるパターン解析を詳細に解説...,0,,ja,http://books.google.com/books/content?id=WnKVZwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,0.0,1.0,0
カーネル法入門 ─正定値カーネルによるデータ解析─,福水健次,朝倉書店,カーネル法入門,福水健次,,2010-11,原理、代表的手法、最近の発展を詳述する...,236,,ja,http://books.google.com/books/content?id=C_lQYgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1.0,1.0,1.0,0
ガウス過程と機械学習,持橋大地，大羽成征,講談社,ガウス過程と機械学習,"持橋大地, 大羽成征",講談社,2019-03-09,圧倒的に柔軟なベイズ的回帰モデルであるガウス過程の日本初の入門書。基礎の線形回帰から始め、ガウス過程の原理をゼロからていねいに解説。教師なし学習、実応用など最近の話題まで紹介した。さあ、はじめよう！...,293,Technology & Engineering,ja,http://books.google.com/books/content?id=vXCSDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1.0,1.0,1.0,0
